Name,lat,lon
Happencourt,49.7833,3.18333
Prouvais,49.4667,3.98333
Azy-sur-Marne,49.0,3.36667
Terny-Sorny,49.45,3.36667
Droizy,49.2833,3.38333
Pignicourt,49.4167,4.03333
Moussy-Verneuil,49.4167,3.63333
Aguilcourt,49.4,3.96667
Montaigu,49.5333,3.83333
Moulins,49.4167,3.68333
Saulchery,48.9833,3.3
Nanteuil-la-Fosse,49.4333,3.45
Guignicourt,49.4333,3.96667
Bucy-le-Long,49.4,3.38333
Longpont,49.2667,3.21667
Montgobert,49.3,3.15
Noircourt,49.6667,4.1
Rozet-Saint-Albin,49.2,3.3
Chivy-les-Etouvelles,49.5167,3.58333
Chavonne,49.4,3.56667
Artonges,48.9333,3.55
Oisy,50.0167,3.66667
Juvigny,49.45,3.31667
Marchais-en-Brie,48.8833,3.48333
Bouconville-Vauclair,49.4656,3.75556
La Bouteille,49.8667,3.96667
Ly-Fontaine,49.7167,3.3
Logny-les-Aubenton,49.8333,4.2
Cuirieux,49.6833,3.81667
Iron,49.95,3.66667
Joncourt,49.95,3.3
Effry,49.9333,4.0
Jumigny,49.4167,3.71667
Chaourse,49.7,4.0
Saint-Remy-Blanzy,49.2333,3.3
Beaumont-en-Beine,49.7,3.13333
Le Plessier-Huleu,49.2333,3.35
Estrees,49.9667,3.28333
Baulne-en-Brie,48.9833,3.61667
Guivry,49.65,3.11667
Variscourt,49.4167,3.98333
Chatillon-sur-Oise,49.7833,3.4
Soissons,49.3667,3.33333
Bray-Saint-Christophe,49.7667,3.15
Le Herie-la-Vieville,49.8167,3.63333
Aubenton,49.8333,4.2
Braye,49.4333,3.36667
Brissay-Choigny,49.7167,3.36667
Remaucourt,49.9,3.33333
Seraucourt-le-Grand,49.7833,3.21667
Berry-au-Bac,49.4,3.9
Vivaise,49.6167,3.56667
Proviseux-et-Plesnoy,49.4667,4.0
Caumont,49.6167,3.18333
Villers-le-Sec,49.7833,3.5
Vichel-Nanteuil,49.1833,3.28333
Romery,49.9,3.73333
Fontaine-les-Clercs,49.8,3.21667
Chery-les-Pouilly,49.65,3.6
Pithon,49.75,3.1
Beaurieux,49.4,3.73333
Sinceny,49.6,3.25
Bouffignereux,49.3667,3.85
Saint-Gengoulph,49.1167,3.21667
Pargny-les-Bois,49.7167,3.61667
Montigny-l'Allier,49.1167,3.1
Beuvardes,49.15,3.48333
Cuissy-et-Geny,49.4167,3.7
Reuilly-Sauvigny,49.0667,3.55
Vailly-sur-Aisne,49.4167,3.51667
Bievres,49.5,3.71667
Berny-Riviere,49.4167,3.15
Perles,49.3167,3.65
Fontenelle-en-Brie,48.9167,3.48333
Neuflieux,49.6,3.16667
Pargny-la-Dhuys,48.95,3.55
Brenelle,49.3667,3.53333
Urvillers,49.7833,3.31667
Laversine,49.35,3.16667
Origny-Sainte-Benoite,49.8333,3.5
Cuiry-Housse,49.3,3.48333
La Neuville-les-Dorengt,49.9667,3.68333
Blanzy-les-Fismes,49.3333,3.66667
Hargicourt,49.9623,3.18
Villers-sur-Fere,49.1833,3.53333
La Herie,49.8833,4.05
Bonnesvalyn,49.1167,3.31667
Haution,49.85,3.83333
Berzy-le-Sec,49.3333,3.31667
La Vallee-au-Ble,49.8667,3.78333
Le Catelet,50.0,3.25
Gizy,49.6,3.76667
Saint-Algis,49.8833,3.81667
Saint-Aubin,49.5167,3.18333
Bancigny,49.8,4.01667
Villeneuve-sur-Fere,49.1833,3.46667
Fleury,49.2581,3.15639
Quincy-sous-le-Mont,49.3,3.55
Besny-et-Loizy,49.6,3.58333
Chery-les-Rozoy,49.7167,4.08333
Chauny,49.6167,3.21667
Sommette-Eaucourt,49.7333,3.11667
Lierval,49.4833,3.61667
Chezy-sur-Marne,48.9833,3.36667
Oulches-la-Vallee-Foulon,49.4333,3.75
Anizy-le-Chateau,49.5,3.45
Maizy,49.3833,3.73333
Fourdrain,49.6,3.46667
Nampteuil-sous-Muret,49.3,3.41667
Urcel,49.5,3.55
Louatre,49.25,3.25
Barzy-en-Thierache,50.0333,3.75
Conde-en-Brie,49.0,3.55
Dampleux,49.25,3.15
Sommelans,49.1333,3.3
Pontruet,49.9,3.23333
Oigny-en-Valois,49.2167,3.13333
Loupeigne,49.25,3.53333
Lhuys,49.2833,3.55
Eparcy,49.8667,4.06667
La Chapelle-Monthodon,49.0167,3.63333
Morsain,49.45,3.18333
Jaulgonne,49.0833,3.53333
Chermizy-Ailles,49.4667,3.73333
Becquigny,50.0173,3.46973
Festieux,49.5167,3.75
Villers-les-Guise,49.9,3.68333
Nampcelles-la-Cour,49.7833,4.0
Montigny-en-Arrouaise,49.9,3.48333
Berrieux,49.4833,3.85
Chigny,49.9167,3.76667
Muret-et-Crouttes,49.2833,3.41667
Flavigny-le-Grand-et-Beaurain,49.8909,3.66473
Laon,49.5667,3.61667
Saint-Clement,49.7667,4.06667
Dercy,49.7,3.68333
Anguilcourt-le-Sart,49.6833,3.43333
Villers-en-Prayeres,49.3833,3.66667
Chalandry,49.6833,3.63333
Laval-en-Laonnois,49.5,3.6
Fressancourt,49.6167,3.41667
Le Sourd,49.8667,3.75
Fontaine-Notre-Dame,49.8833,3.43333
Chery-Chartreuve,49.2667,3.61667
Mortefontaine,49.3317,3.07611
Serain,50.0167,3.36667
Maast-et-Violaine,49.2833,3.45
Neuville-sur-Ailette,49.4667,3.7
Francilly-Selency,49.85,3.23333
Bezu-le-Guery,49.0167,3.23333
Marle,49.7333,3.76667
Leme,49.8333,3.76667
Cierges,49.1667,3.6
Craonne,49.4333,3.78333
Courtemont-Varennes,49.0667,3.55
Pommiers,49.4,3.26667
Gland,49.05,3.46667
